Feature,Importance
"categorical__Address_Dlf City Phase 4, Gurgaon, Sector 26, Gurgaon, Delhi NCR",0.0006030007443596911
"categorical__Address_Vikaspuri, New Delhi - 110018, Vikaspuri Block G, New Delhi - West, Delhi NCR",0.0006027280431778743
"categorical__Address_Saket, New Delhi - South, Delhi NCR",0.0006016680642747193
"categorical__Address_Greater Noida West, Greater Noida, Delhi NCR",0.0005990341480275924
"categorical__Address_Sector b pocket 8&9 vasant kunj., Sector B Vasant Kunj, New Delhi - South, Delhi NCR",0.0005974769927738858
"categorical__Address_T -BLOCK, Rajouri Garden, New Delhi - West, Delhi NCR",0.0005957290365535265
"categorical__Address_Malibu Town, Gurgaon, Delhi NCR",0.0005956229446061209
"categorical__Address_Greater kailash enclave II, Delhi, Greater Kailash Enclave 2, New Delhi - South, Delhi NCR",0.000584235548235053
"categorical__Address_Close To NH-8, DLF City Phase 3, Gurgaon, Delhi NCR",0.0005798906703756669
"categorical__Address_Sector 22, Gurgaon, Delhi NCR",0.000577765295313695
"categorical__Address_Plot no 2 sec-6 dwarka, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",0.0005596302296979776
"categorical__Address_A Block, Sector 61 Block A, Noida, Delhi NCR",0.0005530853461049171
"categorical__Address_Sector 107, Noida, Sector 107, Noida, Delhi NCR",0.0005525528451137309
"categorical__Address_16 block, Patel Nagar East, New Delhi - West, Delhi NCR",0.0005511479203347232
"categorical__Address_M G Road, Gurgaon, Delhi NCR",0.0005463301950204994
"categorical__Address_J 11 Saket New Delhi, J Block-Saket, New Delhi - South, Delhi NCR",0.0005447920613766277
"categorical__Address_Kalkaji, New Delhi - South, Delhi NCR",0.000537722153658016
"categorical__Address_Chittaranjan Park Block E, New Delhi - South, Delhi NCR",0.0005355756669571393
"categorical__Address_Sector 93A, Noida, Delhi NCR, Sector 93A, Noida, Delhi NCR",0.0005355142724171021
"categorical__Address_1704A, Sector 10, Gurgaon, Delhi NCR",0.0005250573609334141
"categorical__Address_Moti Nagar, New Delhi, New Moti Nagar, New Delhi - West, Delhi NCR",0.0005107103875395204
"categorical__Address_House no.17, Block 3, Charmwood Village, Faridabad, Delhi NCR",0.0005093591592563722
"categorical__Address_C6 and 7 Flat Number 6100 1st floor Vasant kunj New delhi, Vasant Kunj, New Delhi - South, Delhi NCR",0.0005072118166163666
"categorical__Address_F Block, Rajouri Garden, New Delhi - West, Delhi NCR",0.0004975801258342935
"categorical__Address_Kalkaji, New Delhi, Kalkaji, New Delhi - South, Delhi NCR",0.00048986922693931
"categorical__Address_A blk, Green Woods City, Gurgaon, Delhi NCR",0.00048124027936216076
"categorical__Address_Gautam budh nagar, Greater Noida, Delhi NCR",0.00047439700952997104
"categorical__Address_Sector 107, Noida, Delhi NCR",0.0004704286093208068
"categorical__Address_Oppt Golf Course, Sector 40, Noida, Delhi NCR",0.00046274786239681987
"categorical__Address_Crossings Republik, Ghaziabad, Delhi NCR",0.0004530816511572679
"categorical__Address_Sector 50, Noida, Sector 50, Noida, Delhi NCR",0.0004449378907779792
"categorical__Address_Gurgaon, Sector 5, Gurgaon, Delhi NCR",0.000444624307252799
"categorical__Address_Outram Lines, New Delhi - North, Delhi NCR",0.00044373061110102735
"categorical__Address_Kalu Sarai, New Delhi - South, Delhi NCR",0.000439863335225696
"categorical__Address_Sector 78, Gurgaon, Delhi NCR",0.00043942103741074454
"categorical__Address_K728  DLF  Phase 2, DLF City Phase 2, Gurgaon, Delhi NCR",0.0004330782419306693
"categorical__Address_Sector 52, Gurgaon, Delhi NCR",0.00043192658942076985
"categorical__Address_63 Gulmohar Enclave New Delhi, Gautam Nagar, New Delhi - South, Delhi NCR",0.0004313138406316458
"categorical__Address_Goyla Dairy, New Delhi - Dwarka, Delhi NCR",0.00042998620011928615
"categorical__Address_Block C, Sushant Lok 2, Gurgaon, Delhi NCR",0.0004258806660971503
"categorical__Address_R~2., South Extension 2, New Delhi - South, Delhi NCR",0.0004226733039654912
"categorical__Address_Sohna Sector 32, Gurgaon., Sector 32, Gurgaon, Delhi NCR",0.00041865851457177855
"categorical__Address_Mandawali, New Delhi - East, Delhi NCR",0.00041852575537422
"categorical__Address_Omega 2, Greater Noida, Delhi NCR",0.0004147547792911509
"categorical__Address_Naraina, New Delhi - West, Delhi NCR",0.0004122020140171069
"categorical__Address_B 39 1st floor, Suncity, Gurgaon, Delhi NCR",0.0004104432849107757
"categorical__Address_Sector 108Noida park Laureate, Sector 108 Parx Laureate, Noida, Delhi NCR",0.00040984613465164444
"categorical__Address_Sector 30 Block A, Gurgaon, Delhi NCR",0.0004048451194428696
"categorical__Address_E block, Kalkaji, New Delhi - South, Delhi NCR",0.0004022918875053937
"categorical__Address_Sector 50, Noida, Delhi NCR, Sector 50, Noida, Delhi NCR",0.00040045178008988
"categorical__Address_Sector-Pi, Greater Noida, Delhi NCR",0.0003963705690799647
"categorical__Address_Indirapuram, Ghaziabad, Delhi NCR",0.0003898452959372804
"categorical__Address_Punjabi Bagh extension, Punjabi Bagh Extension, New Delhi - Central, Delhi NCR",0.0003855473279160861
"categorical__Address_DLF City Phase 3, Gurgaon., DLF City Phase 3, Gurgaon, Delhi NCR",0.0003832641340304277
"categorical__Address_Sector 9 Rohini, New Delhi - Rohini, Delhi NCR",0.00038133213802954847
"categorical__Address_Sector 49, Gurgaon, Delhi NCR",0.00038049347588096926
"categorical__Address_Jasola Vihar, New Delhi, Delhi NCR",0.0003758337497439449
"categorical__Address_H block dlf phase 1 Gurugram, DLF City Phase 1, Gurgaon, Delhi NCR",0.00037348151682428866
"categorical__Address_Plot no- 77 Sector 13 Dwarka, Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR",0.00037320204471616615
"categorical__Address_GK I, New Delhi - South, Delhi NCR",0.00037273071217129214
"categorical__Address_sector 49 Gurgaon, Sohna Road, Gurgaon, Delhi NCR",0.0003725185785293497
"categorical__Address_Sri Nivaspuri New Delhi, Sri Niwaspuri, New Delhi - South, Delhi NCR",0.00037226509947864054
"categorical__Address_dlf phase  2, DLF City Phase 2, Gurgaon, Delhi NCR",0.00036833998526992746
"categorical__Address_Nirvana Country, Gurgaon, Nirvana country Pocket H, Gurgaon, Delhi NCR",0.00036597827703030986
"categorical__Address_House no 337 Sector 5 Gurgaon, Sector 5, Gurgaon, Delhi NCR",0.0003650770014466373
"categorical__Address_Sector 121, Noida, Delhi NCR",0.0003649147806013868
"categorical__Address_Corner villa, Sector 43, Noida, Delhi NCR",0.0003641608637990143
"categorical__Address_Sheikh Sarai, New Delhi, Sheikh Sarai Phase 1, New Delhi - South, Delhi NCR",0.0003638045889689392
"categorical__Address_Sohna Road, Gurgaon, Delhi NCR",0.0003637354379909354
"categorical__Address_Cgu061., Kirti Nagar, New Delhi - West, Delhi NCR",0.00036178767707394424
"categorical__Address_Sector 57, Gurgaon, Delhi NCR",0.00036178425164163063
"categorical__Address_Sector 21C, Faridabad, Delhi NCR",0.00035777582837776597
"categorical__Address_Sector 37C, Gurgaon, Delhi NCR",0.00035517509078223216
"categorical__Address_South Extension 2, New Delhi - South, Delhi NCR",0.0003508967480140578
"categorical__Address_183 flat no.3 tower 1 floor 8th Windsor GreensSector 50 Noida 201301, Sector 50, Noida, Delhi NCR",0.00035084273500084716
"categorical__Address_sector b pocket 7 ff, Sector B Vasant Kunj, New Delhi - South, Delhi NCR",0.000347269600627414
"categorical__Address_yogesh ljpt ngr ptprty, GK I, New Delhi - South, Delhi NCR",0.0003453532737195063
"categorical__Address_156., Chittaranjan Park, New Delhi - South, Delhi NCR",0.0003439990114718246
"categorical__Address_H-20., Sector 48, Gurgaon, Delhi NCR",0.00034139955580405224
"categorical__Address_S Block, GK II, New Delhi - South, Delhi NCR",0.0003411694261100123
"categorical__Address_Kirti Nagar, New Delhi - West, Delhi NCR",0.00033482056704708924
"categorical__Address_Pitampura, New Delhi - West, Delhi NCR",0.0003337990355153248
"categorical__Address_sectorc15a noida, Sector 15A, Noida, Delhi NCR",0.00033164485723231635
"categorical__Address_Sector 92, Gurgaon, Delhi NCR",0.0003308810396070542
"categorical__Address_Gurgaon, Sector 49, Gurgaon, Delhi NCR",0.0003258595425175109
"categorical__Address_Bhopura, Ghaziabad, Delhi NCR",0.0003252765642650538
"categorical__Address_Sector 56, Gurgaon, Delhi NCR",0.00032488377316853347
"categorical__Address_Sector 81, Gurgaon, Sector 81A, Gurgaon, Delhi NCR",0.00032311513599714314
"categorical__Address_Vaishali, Ghaziabad, Delhi NCR",0.0003223892314798589
"categorical__Address_45/6 Second Floor, East Patel Nagar, New Delhi -110008, Balraj Khanna Marg, New Delhi - West, Delhi NCR",0.0003194643791398247
categorical__Status_Under Construction,0.0003152585515946976
"categorical__Address_Sector 78 Noida, Uttar Pradesh 201304, Sector 78, Noida, Delhi NCR",0.000311042033481143
"categorical__Address_Sector 45, Gurgaon, Delhi NCR",0.0003095834479978136
"categorical__Address_sector 30, Uniworld City, Gurgaon, Delhi NCR",0.00030758818913581825
"categorical__Address_Sector 85, Gurgaon, Delhi NCR",0.0003068594396225437
"categorical__Address_Noida Extension, Greater Noida, Delhi NCR",0.00030631330263967
"categorical__Address_Sector 48, Faridabad, Delhi NCR",0.00030530732678985814
"categorical__Address_press enclave. society flat Saket, Saket, New Delhi - South, Delhi NCR",0.00030471303776827166
"categorical__Address_Sector 79, Gurgaon, Delhi NCR",0.000304700923190481
"categorical__Address_sunny valley apartments, Dwarka sector 12, Sector 12 Dwarka, New Delhi - Dwarka, Delhi NCR",0.0002970104048238579
"categorical__Address_Plot-14, Sector9, Rohini, Delhi 110085, Sector 9 Rohini, New Delhi - Rohini, Delhi NCR",0.0002902615487642933
"categorical__Address_House number 3675 Sector 23 gurugram, Sector 23, Gurgaon, Delhi NCR",0.00028839545446483474
"categorical__Address_Sector 88, Faridabad, Delhi NCR",0.0002865683500148905
"categorical__Address_Avantika Colony, Ghaziabad, Delhi NCR",0.00028524341587085145
"categorical__Address_Sector 32, Sector 32, Noida, Delhi NCR",0.0002832389279559488
"categorical__Address_Dwarka, New Delhi - Dwarka, Delhi NCR",0.00028251493057012675
"categorical__Address_Sultanpur, Noida, Delhi NCR",0.0002794375332486461
"categorical__Address_B01., Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",0.0002779158620517954
"categorical__Address_sector 72, Sector 72, Gurgaon, Delhi NCR",0.0002771119978736905
"categorical__Address_Sector 48 Gurgaon, Sector 48, Gurgaon, Delhi NCR",0.0002761294194443796
"categorical__Address_Flat No 902 Tower B2 Sec 30 Gurugram, Sector 30, Gurgaon, Delhi NCR",0.0002747909815635856
"categorical__Address_Punjabi Bagh West, New Delhi - West, Delhi NCR",0.0002735978461002043
"categorical__Address_Dwarka Sector 22, New Delhi, Sector 22 Dwarka, New Delhi - Dwarka, Delhi NCR",0.00027224385848771535
"categorical__Address_1., Block G, Gurgaon, Delhi NCR",0.00027151734908031244
"categorical__Address_Sector 37D, Gurgaon, Delhi NCR",0.0002712505424730762
"categorical__Address_Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",0.00027119122729792576
"categorical__Address_1460 rani bagh, Rani Bagh, New Delhi - West, Delhi NCR",0.0002710711080957053
"categorical__Address_Vikaspuri, New Delhi - West, Delhi NCR",0.00027054802438552893
"categorical__Address_DLF Capital Greens Phase 1, Moti Nagar, New Delhi - West, Delhi NCR",0.00026903751395168554
"categorical__Address_Park facing house, Sector 46, Gurgaon, Delhi NCR",0.0002676130089242948
"categorical__Address_chander nagar, Janakpuri, New Delhi - West, Delhi NCR",0.0002671133078629865
"categorical__Address_dlf phase 2, DLF City Phase 2, Gurgaon, Delhi NCR",0.0002623861600908006
"categorical__Address_Paschim Vihar, New Delhi - West, Delhi NCR",0.000261340407492002
